item,order_frequency,total_qty_sold,restaurant,avg_bill_when_present,solo_order_count,multi_order_count,solo_order_ratio,popularity_rank,avg_price_proxy,peak_meal_period
Fried Chicken Beast Burger,6,6,Dilli Burger Adda,674.1666666666666,1,5,0.16666666666666666,158,339.9166666666667,dinner
Fried Chicken Bites (Bone) - 4pcs,3,3,The Chicken Junction,360.0,3,0,1.0,180,360.0,dinner
Fried Chicken Bites (Bone) - 8pcs,1,1,The Chicken Junction,740.0,1,0,1.0,215,740.0,dinner
Fried Chicken Boneless Bites - 10pcs,1,1,The Chicken Junction,1107.0,0,1,0.0,215,221.4,dinner
Fried Chicken Boneless Bites - 6pcs,7,8,The Chicken Junction,690.25,4,4,0.5714285714285714,150,332.75,late_night
Fried Chicken Classic Tender,381,413,Swaad,764.7998441558442,131,254,0.3438320209973753,31,370.2480272108843,dinner
Fried Chicken Classic Tender .,14,15,Swaad,990.5749999999999,2,12,0.14285714285714285,128,350.5127976190476,dinner
Fried Chicken Classic Tenders + AAC Signature Fries,27,27,Swaad,706.0388888888889,10,17,0.37037037037037035,109,379.0317901234568,dinner
Fried Chicken Desi Peri Peri Bites (Bone),1,1,The Chicken Junction,510.0,1,0,1.0,215,510.0,late_night
Fried Chicken Dirty Burger,4,4,Dilli Burger Adda,686.0,0,4,0.0,170,278.4375,dinner
Fried Chicken Ghostbuster Tender,239,249,Swaad,813.9776446280991,68,174,0.28451882845188287,48,363.0598356498873,dinner
Fried Chicken Kabuli Tender,129,134,Swaad,834.9564615384616,21,109,0.16279069767441862,63,320.52581794871793,dinner
Fried Chicken Kabuli Tender .,4,4,Swaad,1367.0,1,3,0.25,170,367.7291666666667,dinner
Fried Chicken Peri Peri Tender,557,594,Swaad,748.1205861456483,184,379,0.3303411131059246,21,360.72592850094446,dinner
Fried Chicken Peri Peri Tender .,10,10,Swaad,699.5,2,8,0.2,140,293.5333333333333,late_night
Fried Chicken Peri Peri Tenders + Peri Peri Fries,71,76,Swaad,753.0422535211268,23,48,0.323943661971831,77,393.9335680751173,dinner
Fried Chicken Strips,237,297,Aura Pizzas,825.3898319327731,31,207,0.1308016877637131,49,314.9996767040149,dinner
Fried Chicken Tangdi - 2pcs,7,9,The Chicken Junction,653.3333333333334,6,3,0.8571428571428571,150,303.3333333333333,dinner
Fried Chicken Tangdi - 4pcs,1,1,The Chicken Junction,510.0,1,0,1.0,215,510.0,late_night
Fried Chicken Tenders,156,173,Aura Pizzas,1092.7895597484278,10,149,0.0641025641025641,58,376.9830519616652,dinner
